file_id,source_clean_file,noise_type,snr_db,clean_path,noisy_path
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,white,-5,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_white_-05dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,white,0,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_white_+00dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,white,5,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_white_+05dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,white,10,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_white_+10dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,white,15,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_white_+15dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,brown_hum,-5,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_brown_hum_-05dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,brown_hum,0,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_brown_hum_+00dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,brown_hum,5,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_brown_hum_+05dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,brown_hum,10,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_brown_hum_+10dB.wav
holdout_00_7976-110124-0013,C:\Users\ragha\Downloads\dev-clean\LibriSpeech\dev-clean\7976\110124\7976-110124-0013.flac,brown_hum,15,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\clean\holdout_00_7976-110124-0013.wav,C:\Users\ragha\OneDrive\Desktop\dspproject\ablation_testset\noisy\holdout_00_7976-110124-0013_brown_hum_+15dB.wav
